sample	Axis1	Axis2	Axis3	population	location	date	latitude	longitude	Spawning	Region	subregion	spawning_month	julian_date
Case07_001	-1.51651601817075	2.93408273872486	0.190390385766306	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_002	-1.99725353524073	3.13135691762481	-1.73111650047988	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_003	1.33632303609565	1.74610662303857	1.49646501607494	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_004	-2.95540789912293	-1.53485963346669	-0.125850428771079	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_005	0.477555898047914	0.974855683895754	-0.641404268563072	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_006	-1.5211530663296	2.66788069456785	2.65358587139454	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_007	0.107757691949742	-0.578643738164704	1.66260481292288	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_008	-1.39762439734165	0.279611757267037	2.00225423006653	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_010	-3.69600005970167	2.08704128296128	-2.02881086377285	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_011	-0.324031018053319	2.27934564040135	-0.0887377450777072	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_012	-3.3999277284399	2.82381311611384	0.313677404518137	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_014	-1.29014310035213	2.40769195404423	-1.46855603194185	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_015	-0.657748880123009	3.70533367786768	2.32825967040431	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_016	2.15077841523533	0.122844406672291	1.0009744868391	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_017	-0.670617343161449	4.02410593772836	2.27108367615478	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_018	0.855585519025673	1.94338080193852	-0.425041870171252	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_019	-2.62472619372938	-1.47222516979887	2.34163239686026	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_020	-0.43960737718398	3.76391719720474	-1.85105822718161	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_021	-1.87836191441163	0.476885936166984	0.0807473438203364	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_022	0.521867656955982	3.36936883940485	1.99195554531077	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_024	-0.55995713721194	1.95460926028823	1.56257604057724	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_025	-2.70900101828818	3.58881983704838	0.46951851661032	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_027	0.041130139886001	3.5666430183048	0.0704486590645809	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_028	0.143838035978223	2.40084372136208	1.77559314691895	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_029	-0.73229418713591	3.8472768939662	-1.7676143465193	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_033	-3.03476657050058	4.11111049401729	0.472863808660425	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_034	0.143838035978223	2.40084372136208	1.77559314691895	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_035	-1.06390653527196	-1.14637628019929	-0.414743185415496	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_036	-3.44741298774864	0.736011350585101	0.316751446218331	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_037	0.855585519025673	1.94338080193852	-0.425041870171252	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_038	0.966245724975182	-0.126115875501613	-1.1335495057488	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_039	-0.324031018053319	2.27934564040135	-0.0887377450777072	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_040	0.966245724975182	-0.126115875501613	-1.1335495057488	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
Case07_041	-0.3601113620818	-0.700141819125444	-0.201726079073783	Case07	Squaxin Pass 2007	1/17/2007	47.2	-122.94	primary spawner	Washington	Salish Sea	January	16
