mixture_collection	indiv	repunit	collection	PofZ	log_likelihood	z_score	n_non_miss_loci	n_miss_loci	sum_post
spring	will_007	Mar_Apr	ElBy15	0.842591738646024	-4.3286366411411	-0.378052676948102	7	0	0.995326225968642
spring	will_008	Mar_Apr	ElBy15	0.796903646404739	-2.20517821404449	0.849849768610817	7	0	0.999159318341937
spring	will_009	Mar_Apr	ElBy15	0.822262808930512	-2.3623637975669	0.758956271497396	7	0	0.998968402790177
spring	will_012	Mar_Apr	ElBy15	0.844968829089919	-2.07734484253461	0.923770174820817	7	0	0.999047508746641
spring	will_013	Mar_Apr	ElBy15	0.84121655516121	-4.6136555961734	-0.542866580271523	7	0	0.987155900630248
spring	will_014	Mar_Apr	ElBy15	0.802087549397895	-8.03880621885805	-2.52348026798691	7	0	0.974024920798089
spring	will_015	Mar_Apr	ElBy15	0.844968829089919	-2.07734484253461	0.923770174820817	7	0	0.999047508746641
spring	will_016	Mar_Apr	ElBy15	0.831303386427164	-3.08199013494486	0.342828068430486	7	0	0.999485932535527
spring	will_018	Mar_Apr	ElBy15	0.820477315534456	-2.50493340995969	0.146556281638981	6	1	0.999350037529159
spring	will_019	Mar_Apr	ElBy15	0.796903646404739	-2.20517821404449	0.849849768610817	7	0	0.999159318341937
spring	will_020	Mar_Apr	ElBy15	0.844968829089919	-2.07734484253461	0.923770174820817	7	0	0.999047508746641
spring	will_021	Mar_Apr	ElBy15	0.795610036767058	-6.22716683399513	-1.47588903532709	7	0	0.993938189845975
spring	will_022	Mar_Apr	ElBy15	0.827358611951756	-4.85268695628901	-0.6810878837385	7	0	0.999205612735738
spring	will_023	Mar_Apr	ElBy15	0.831037666002797	-5.33328193355135	-0.958994783338433	7	0	0.997871424028043
spring	will_024	Mar_Apr	ElBy15	0.796903646404739	-2.20517821404449	0.849849768610817	7	0	0.999159318341937
spring	will_025	Mar_Apr	ElBy15	0.807408348802313	-3.36700908997716	0.178014165107065	7	0	0.999473210434093
spring	will_026	Mar_Apr	ElBy15	0.85532029540023	-5.26906234081706	-0.921859422473819	7	0	0.999663186132329
spring	will_028	Mar_Apr	ElBy15	0.760387829798357	-5.59622439982738	-1.11104282593801	7	0	0.997511070498967
spring	will_029	Mar_Apr	ElBy15	0.822262808930512	-2.3623637975669	0.758956271497396	7	0	0.998968402790177
spring	will_030	Mar_Apr	ElBy15	0.822262808930512	-2.3623637975669	0.758956271497396	7	0	0.998968402790177
spring	will_032	Mar_Apr	ElBy15	0.755103563356624	-4.82928935807497	-0.66755808362534	7	0	0.999098634495538
spring	will_034	Mar_Apr	ElBy15	0.772081375678444	-2.49019716907679	0.685035865287396	7	0	0.999152272775912
spring	will_035	Mar_Apr	ElBy15	0.711683502024508	-3.9524774371746	-0.160536383445009	7	0	0.999043127850861
spring	will_036	Mar_Apr	ElBy15	0.772081375678444	-2.49019716907679	0.685035865287396	7	0	0.999152272775912
spring	will_037	Mar_Apr	ElBy15	0.822262808930512	-2.3623637975669	0.758956271497396	7	0	0.998968402790177
spring	will_038	Mar_Apr	ElBy15	0.674291771573109	-9.23381055955377	-3.21449862448946	7	0	0.989258193668352
spring	will_039	Mar_Apr	ElBy15	0.844968829089919	-2.07734484253461	0.923770174820817	7	0	0.999047508746641
spring	will_040	Mar_Apr	ElBy15	0.844968829089919	-2.07734484253461	0.923770174820817	7	0	0.999047508746641
spring	will_041	Mar_Apr	ElBy15	0.79702458984317	-4.74148896768328	-0.616786986481523	7	0	0.99064836519094
spring	will_042	Mar_Apr	ElBy15	0.822262808930512	-2.3623637975669	0.758956271497396	7	0	0.998968402790177
spring	will_043	Mar_Apr	ElBy15	0.796751938397687	-3.97587503538864	-0.174066183558169	7	0	0.998856855833459
spring	will_044	Mar_Apr	ElBy15	0.83341836158235	-5.61830088858365	-1.12380868666185	7	0	0.9938848184067
spring	will_045	Mar_Apr	ElBy15	0.796903646404739	-2.20517821404449	0.849849768610817	7	0	0.999159318341937
spring	will_046	Mar_Apr	ElBy15	0.734834889526624	-3.6674584821423	0.00427751987841262	7	0	0.999065466680349
spring	will_047	Mar_Apr	ElBy15	0.551310794993549	-9.81927890675121	-3.55304917304154	7	0	0.976554717579547
spring	will_048	Mar_Apr	ElBy15	0.831303386427164	-3.08199013494486	0.342828068430486	7	0	0.999485932535527
spring	will_049	Mar_Apr	ElBy15	0.844968829089919	-2.07734484253461	0.923770174820817	7	0	0.999047508746641
