mixture_collection	indiv	repunit	collection	PofZ	log_likelihood	z_score	n_non_miss_loci	n_miss_loci	sum_post
summer	josh_025	Mar_Apr	ElBy15	0.368552121048893	-2.3623637975669	0.758956271497396	7	0	0.933467371322685
summer	josh_033	Mar_Apr	ElBy15	0.368552121048893	-2.3623637975669	0.758956271497396	7	0	0.933467371322685
summer	josh_057	Jan_Feb	SmBy15	0.402392924590893	-2.83826917456448	1.2783965310565	6	1	0.442732725698073
summer	josh_065	Mar_Apr	ElBy15	0.366942361960743	-3.36700908997716	0.178014165107065	7	0	0.957714444131136
summer	josh_034	Mar_Apr	ElBy15	0.366942361960743	-3.36700908997716	0.178014165107065	7	0	0.957714444131136
summer	josh_042	Jan_Feb	SmBy15	0.663526924574535	-4.48206011601069	0.579468123546218	7	0	0.773679092263598
summer	josh_050	Mar_Apr	ElBy15	0.368552121048893	-2.3623637975669	0.758956271497396	7	0	0.933467371322685
summer	josh_058	Jan_Feb	SmBy15	0.593465730633074	-4.64975044616314	0.0722792749416697	6	1	0.843322137207649
summer	josh_066	Mar_Apr	ElBy15	0.344771299531359	-2.20517821404449	0.849849768610817	7	0	0.9244007310928
summer	josh_074	Mar_Apr	QlBy14	0.3309231598162	-4.18470182029641	0.097732221511357	7	0	0.829679110613374
summer	josh_035	Mar_Apr	QlBy14	0.417469772497368	-3.5085805893264	-0.0980179969955918	6	1	0.894632309350595
summer	josh_051	Mar_Apr	ElBy15	0.357330416878251	-1.99755959235275	0.89218930253938	6	1	0.920167396742214
summer	josh_059	Mar_Apr	ElBy15	0.343014194540885	-4.10370840689852	-0.247986589768169	7	0	0.92775443107177
summer	josh_067	Mar_Apr	ElBy15	0.355795056381155	-5.20544856204147	-0.885074377128433	7	0	0.876312586416218
summer	josh_075	Mar_Apr	ElBy15	0.366942361960743	-3.36700908997716	0.178014165107065	7	0	0.957714444131136
summer	josh_044	Mar_Apr	ElBy15	0.368702612483604	-3.08199013494486	0.342828068430486	7	0	0.956918402117446
summer	josh_060	Mar_Apr	ElBy15	0.344771299531359	-2.20517821404449	0.849849768610817	7	0	0.9244007310928
summer	josh_068	Mar_Apr	ElBy15	0.331814482929366	-2.12539296386263	0.81093803645121	6	1	0.911136499997938
summer	josh_076	Mar_Apr	ElBy15	0.366942361960743	-3.36700908997716	0.178014165107065	7	0	0.957714444131136
summer	josh_045	Mar_Apr	ElBy15	0.305500293493468	-3.6674584821423	0.00427751987841262	7	0	0.914981186687218
summer	josh_053	Jan_Feb	SmBy15	0.68284809864422	-5.61989311783208	-0.0815577436827911	7	0	0.732686615345324
summer	josh_061	Mar_Apr	ElBy15	0.344771299531359	-2.20517821404449	0.849849768610817	7	0	0.9244007310928
summer	josh_077	Mar_Apr	QlBy14	0.430735967135219	-4.49956221380214	-0.0642457402717659	7	0	0.89535448357621
summer	josh_062	Mar_Apr	ElBy15	0.344771299531359	-2.20517821404449	0.849849768610817	7	0	0.9244007310928
summer	josh_070	Mar_Apr	ElBy15	0.31239434346942	-3.9524774371746	-0.160536383445009	7	0	0.914379717512571
summer	josh_047	Mar_Apr	ElBy15	0.370474885072803	-2.07734484253461	0.923770174820817	7	0	0.933615482432094
summer	josh_063	Mar_Apr	QlBy14	0.378712056896015	-3.60668060481828	0.395091623588231	7	0	0.838792455530156
summer	josh_079	Jan_Feb	SmBy15	0.663098008476698	-4.77228996054127	0.410858640107556	7	0	0.793682748173291
summer	josh_048	Mar_Apr	ElBy15	0.305500293493468	-3.6674584821423	0.00427751987841262	7	0	0.914981186687218
summer	josh_064	Mar_Apr	ElBy15	0.360395500499782	-4.98052032779889	-0.755008289948501	7	0	0.959810572891385
summer	josh_275	Mar_Apr	ElBy15	0.380632499611691	-3.23917571846727	0.251934571317065	7	0	0.962014603420735
summer	josh_283	Mar_Apr	QlBy14	0.386939301654412	-2.84454055277138	0.787169810524736	7	0	0.96190494550717
summer	josh_276	Jan_Feb	SmBy15	0.575729713587323	-6.59790704133537	-0.649736466668441	7	0	0.819040794810264
summer	josh_270	Mar_Apr	ElBy15	0.370474885072803	-2.07734484253461	0.923770174820817	7	0	0.933615482432094
summer	josh_312	Mar_Apr	QlBy14	0.311790097502555	-7.94155471392351	-1.83495727192814	7	0	0.731467165813906
summer	josh_313	Mar_Apr	ElBy15	0.343014194540885	-4.10370840689852	-0.247986589768169	7	0	0.92775443107177
summer	josh_314	Mar_Apr	ElBy15	0.370474885072803	-2.07734484253461	0.923770174820817	7	0	0.933615482432094
summer	josh_315	Mar_Apr	ElBy15	0.340998125523637	-4.54427040304267	-0.502744180301918	7	0	0.949819498542467
summer	josh_316	Mar_Apr	ElBy15	0.346818130111646	-2.49019716907679	0.685035865287396	7	0	0.924705675898082
summer	josh_317	Mar_Apr	ElBy15	0.370474885072803	-2.07734484253461	0.923770174820817	7	0	0.933615482432094
spring	josh_026	Mar_Apr	Gabr15	0.61548350320611	-3.26409732545609	0.354311033444174	7	0	0.996994035743813
spring	josh_027	Mar_Apr	Gabr15	0.622887801292992	-2.19709037620331	1.00705233030693	7	0	0.995570526281202
spring	josh_028	Mar_Apr	Gabr15	0.589713964326779	-4.47150459223066	-0.384320130774454	7	0	0.979554581170138
spring	josh_021	Mar_Apr	Gabr15	0.640641861924666	-4.31696863017941	-0.289782785584804	7	0	0.98317127444326
spring	josh_022	Mar_Apr	Gabr15	0.61007263937518	-2.47116679659931	0.839386132618082	7	0	0.990828359407274
spring	josh_038	Mar_Apr	Gabr15	0.622887801292992	-2.19709037620331	1.00705233030693	7	0	0.995570526281202
spring	josh_054	Mar_Apr	Gabr15	0.626093505350292	-4.42097852224817	-0.353410817138923	7	0	0.997583336227525
spring	josh_015	Mar_Apr	Gabr15	0.652493367662473	-1.96092705192271	0.816823670970831	6	1	0.99591517036524
spring	josh_023	Mar_Apr	Gabr15	0.622887801292992	-2.19709037620331	1.00705233030693	7	0	0.995570526281202
spring	josh_031	Mar_Apr	Gabr15	0.622887801292992	-2.19709037620331	1.00705233030693	7	0	0.995570526281202
spring	josh_039	Mar_Apr	Gabr15	0.431914238228925	-8.19412451488602	-2.66163215553946	7	0	0.791142257361211
spring	josh_016	Mar_Apr	Gabr15	0.638246669350071	-2.52879590943595	0.804131533876829	7	0	0.990984310751754
spring	josh_032	Mar_Apr	Gabr15	0.638246669350071	-2.52879590943595	0.804131533876829	7	0	0.990984310751754
spring	josh_040	Mar_Apr	Gabr15	0.568658074473784	-4.23962350062153	-0.659233151169359	6	1	0.960552351080157
spring	josh_272	Mar_Apr	Gabr15	0.622887801292992	-2.19709037620331	1.00705233030693	7	0	0.995570526281202
spring	josh_273	Mar_Apr	Gabr15	0.656521028475969	-2.25471948903995	0.971797731565673	7	0	0.995721700523843
spring	josh_289	Mar_Apr	Gabr15	0.601084303019868	-5.32634646659555	-0.907269483706303	7	0	0.990102076123987
spring	josh_274	Mar_Apr	Gabr15	0.646088012059714	-3.41160068583203	0.264075880982577	7	0	0.996350415399361
spring	josh_290	Mar_Apr	Gabr15	0.61007263937518	-2.47116679659931	0.839386132618082	7	0	0.990828359407274
spring	josh_267	Mar_Apr	Gabr15	0.641149642059492	-6.54085677622427	-1.65024593303065	7	0	0.98432154746013
spring	josh_291	Mar_Apr	Gabr15	0.656521028475969	-2.25471948903995	0.971797731565673	7	0	0.995721700523843
spring	josh_268	Mar_Apr	Gabr15	0.673210813445835	-5.00825919955788	-0.712679659012942	7	0	0.982429951248084
spring	josh_284	Mar_Apr	Gabr15	0.642689922559646	-3.28761339214669	0.123049447302502	6	1	0.994817657915997
spring	josh_269	Jan_Feb	Port14	0.411053702279539	-7.90955563796745	-1.38071291188365	7	0	0.667971091830637
spring	josh_277	Mar_Apr	Gabr15	0.656521028475969	-2.25471948903995	0.971797731565673	7	0	0.995721700523843
spring	josh_285	Mar_Apr	Gabr15	0.622887801292992	-2.19709037620331	1.00705233030693	7	0	0.995570526281202
spring	josh_293	Mar_Apr	Gabr15	0.638246669350071	-2.52879590943595	0.804131533876829	7	0	0.990984310751754
spring	josh_278	Mar_Apr	Gabr15	0.678405283887476	-3.649177160799	0.118738517919836	7	0	0.99584292068932
spring	josh_286	Mar_Apr	Gabr15	0.638246669350071	-2.52879590943595	0.804131533876829	7	0	0.990984310751754
spring	josh_294	Mar_Apr	Gabr15	0.656521028475969	-2.25471948903995	0.971797731565673	7	0	0.995721700523843
spring	josh_271	Mar_Apr	Gabr15	0.656166728775913	-3.32172643829273	0.31905643470292	7	0	0.997088379716239
spring	josh_287	Mar_Apr	Gabr15	0.653852541652614	-2.1307321953546	0.908236875808211	6	1	0.994107504348057
spring	josh_295	Mar_Apr	Gabr15	0.585431458009955	-3.50406069970606	-0.0238556154652062	6	1	0.986647122354753
spring	josh_296	Mar_Apr	Gabr15	0.656166728775913	-3.32172643829273	0.31905643470292	7	0	0.997088379716239
spring	josh_304	Mar_Apr	Gabr15	0.61007263937518	-2.47116679659931	0.839386132618082	7	0	0.990828359407274
spring	josh_297	Mar_Apr	Gabr15	0.622887801292992	-2.19709037620331	1.00705233030693	7	0	0.995570526281202
spring	josh_305	Mar_Apr	Gabr15	0.656670355596176	-3.923253581195	-0.0489276797690091	7	0	0.991002446753703
spring	josh_306	Mar_Apr	Gabr15	0.61007263937518	-2.47116679659931	0.839386132618082	7	0	0.990828359407274
spring	josh_299	Mar_Apr	Gabr15	0.599174551485593	-4.8032101254633	-0.587240927204553	7	0	0.946702365718635
spring	josh_307	Mar_Apr	Gabr15	0.61548350320611	-3.26409732545609	0.354311033444174	7	0	0.996994035743813
spring	josh_300	Mar_Apr	Gabr15	0.61548350320611	-3.26409732545609	0.354311033444174	7	0	0.996994035743813
spring	josh_308	Mar_Apr	Gabr15	0.622887801292992	-2.19709037620331	1.00705233030693	7	0	0.995570526281202
spring	josh_310	Mar_Apr	Gabr15	0.638246669350071	-2.52879590943595	0.804131533876829	7	0	0.990984310751754
spring	josh_318	Mar_Apr	Gabr15	0.568598036575916	-8.74371120657256	-2.99784170892729	7	0	0.943605444691771
spring	josh_311	Mar_Apr	Gabr15	0.638246669350071	-2.52879590943595	0.804131533876829	7	0	0.990984310751754
spring	josh_420	Mar_Apr	Gabr15	0.618667558010204	-3.3539715729954	0.299330479723831	7	0	0.996130951326644
spring	josh_421	Mar_Apr	Gabr15	0.565422992513352	-4.74558101262666	-0.551986328463299	7	0	0.946795355533488
