sample	repunit2	repunit3
Case07_001	winter	Jan_Feb
Case07_002	winter	Jan_Feb
Case07_003	winter	Jan_Feb
Case07_004	winter	Jan_Feb
Case07_005	winter	Jan_Feb
Case07_006	winter	Jan_Feb
Case07_007	winter	Jan_Feb
Case07_008	winter	Jan_Feb
Case07_010	winter	Jan_Feb
Case07_011	winter	Jan_Feb
Case07_012	winter	Jan_Feb
Case07_014	winter	Jan_Feb
Case07_015	winter	Jan_Feb
Case07_016	winter	Jan_Feb
Case07_017	winter	Jan_Feb
Case07_018	winter	Jan_Feb
Case07_019	winter	Jan_Feb
Case07_020	winter	Jan_Feb
Case07_021	winter	Jan_Feb
Case07_022	winter	Jan_Feb
Case07_024	winter	Jan_Feb
Case07_025	winter	Jan_Feb
Case07_027	winter	Jan_Feb
Case07_028	winter	Jan_Feb
Case07_029	winter	Jan_Feb
Case07_033	winter	Jan_Feb
Case07_034	winter	Jan_Feb
Case07_035	winter	Jan_Feb
Case07_036	winter	Jan_Feb
Case07_037	winter	Jan_Feb
Case07_038	winter	Jan_Feb
Case07_039	winter	Jan_Feb
Case07_040	winter	Jan_Feb
Case07_041	winter	Jan_Feb
Case07_042	winter	Jan_Feb
Case07_043	winter	Jan_Feb
Case07_044	winter	Jan_Feb
Case07_045	winter	Jan_Feb
Case07_046	winter	Jan_Feb
Case07_047	winter	Jan_Feb
Case07_048	winter	Jan_Feb
ChPt14_001	spring	May_Jun
ChPt14_002	spring	May_Jun
ChPt14_003	spring	May_Jun
ChPt14_004	spring	May_Jun
ChPt14_006	spring	May_Jun
ChPt14_007	spring	May_Jun
ChPt14_008	spring	May_Jun
ChPt14_012	spring	May_Jun
ChPt14_013	spring	May_Jun
ChPt14_014	spring	May_Jun
ChPt14_015	spring	May_Jun
ChPt14_016	spring	May_Jun
ChPt14_017	spring	May_Jun
ChPt14_018	spring	May_Jun
ChPt14_019	spring	May_Jun
ChPt14_020	spring	May_Jun
ChPt14_021	spring	May_Jun
ChPt14_023	spring	May_Jun
ChPt14_025	spring	May_Jun
ChPt14_026	spring	May_Jun
ChPt14_031	spring	May_Jun
ChPt14_032	spring	May_Jun
ChPt14_033	spring	May_Jun
ChPt14_036	spring	May_Jun
ChPt14_038	spring	May_Jun
ChPt14_039	spring	May_Jun
ChPt14_042	spring	May_Jun
ChPt14_046	spring	May_Jun
ChPt14_048	spring	May_Jun
ChPt16_001.1	spring	May_Jun
ChPt16_002.1	spring	May_Jun
ChPt16_003.1	spring	May_Jun
ChPt16_005.1	spring	May_Jun
ChPt16_006.1	spring	May_Jun
ChPt16_007.1	spring	May_Jun
ChPt16_008.1	spring	May_Jun
ChPt16_009.1	spring	May_Jun
ChPt16_012.1	spring	May_Jun
ChPt16_013.1	spring	May_Jun
ChPt16_014.1	spring	May_Jun
ChPt16_015.1	spring	May_Jun
ChPt16_016.1	spring	May_Jun
ChPt16_017.1	spring	May_Jun
ChPt16_018.1	spring	May_Jun
ChPt16_019.1	spring	May_Jun
ChPt16_020.1	spring	May_Jun
ChPt16_021.1	spring	May_Jun
ChPt16_023.1	spring	May_Jun
ChPt16_024.1	spring	May_Jun
ChPt16_025.1	spring	May_Jun
ChPt16_026.1	spring	May_Jun
ChPt16_027.1	spring	May_Jun
ChPt16_028.1	spring	May_Jun
ChPt16_029.1	spring	May_Jun
ChPt16_030.1	spring	May_Jun
ChPt16_031.1	spring	May_Jun
ChPt16_033.1	spring	May_Jun
ChPt16_034.1	spring	May_Jun
