genetics_id	latitude	longitude	day	month	year	herring_length_mm	salmon_length_cm	salmon_ID	date	julian_date	maturity
josh_001	48.177	-122.545	7	5	2014	46.7	19.6	Lab-00050	2014-05-07	127	juvenile
josh_002	47.945	-122.322	9	5	2014	NA	36.5	Lab-00078	2014-05-09	129	adult
josh_003	47.945	-122.322	9	5	2014	73.5	36.5	Lab-00078	2014-05-09	129	adult
josh_004	47.945	-122.322	9	5	2014	63.1	27.1	Lab-00079	2014-05-09	129	adult
josh_005	47.945	-122.322	9	5	2014	NA	31.7	Lab-00080	2014-05-09	129	adult
josh_006	47.633	-122.421	10	5	2014	96.4	35.5	Lab-00106	2014-05-10	130	adult
josh_007	47.633	-122.421	10	5	2014	108.7	44.9	Lab-00107	2014-05-10	130	adult
josh_008	47.633	-122.421	10	5	2014	105.4	44.9	Lab-00107	2014-05-10	130	adult
josh_009	47.596	-122.379	10	5	2014	141.8	50.5	Lab-00109	2014-05-10	130	adult
josh_010	47.596	-122.379	10	5	2014	105.4	50.5	Lab-00109	2014-05-10	130	adult
josh_011	47.596	-122.379	10	5	2014	NA	13.5	Lab-00112	2014-05-10	130	juvenile
josh_012	47.597	-122.377	12	5	2014	69	28.9	Lab-00224	2014-05-12	132	adult
josh_013	47.597	-122.377	12	5	2014	38	12.9	Lab-00236	2014-05-12	132	juvenile
josh_014	47.597	-122.377	12	5	2014	33	12.9	Lab-00236	2014-05-12	132	juvenile
josh_015	48.544	-122.84	2	6	2014	30.2	17.3	Lab-01617	2014-06-02	153	juvenile
josh_016	48.544	-122.84	2	6	2014	26.8	17.3	Lab-01617	2014-06-02	153	juvenile
josh_017	48.544	-122.84	2	6	2014	26.1	17.3	Lab-01617	2014-06-02	153	juvenile
josh_018	48.544	-122.84	2	6	2014	33.6	16.5	Lab-01618	2014-06-02	153	juvenile
josh_019	48.544	-122.84	2	6	2014	NA	16.5	Lab-01618	2014-06-02	153	juvenile
josh_020	48.538	-122.824	16	6	2014	24.9	12.9	Lab-01926	2014-06-16	167	juvenile
josh_021	48.538	-122.824	16	6	2014	NA	12.9	Lab-01926	2014-06-16	167	juvenile
josh_022	48.538	-122.824	16	6	2014	39.2	17.3	Lab-01928	2014-06-16	167	juvenile
josh_023	48.538	-122.824	16	6	2014	35.4	17.3	Lab-01928	2014-06-16	167	juvenile
josh_024	48.538	-122.824	16	6	2014	40.3	17.3	Lab-01928	2014-06-16	167	juvenile
josh_025	48.587	-122.662	7	7	2014	31.5	12.8	Lab-02140	2014-07-07	188	juvenile
josh_026	48.538	-122.799	26	6	2014	35	10.2	Lab-02543	2014-06-26	177	juvenile
josh_027	48.538	-122.799	26	6	2014	38.2	10.2	Lab-02543	2014-06-26	177	juvenile
josh_028	48.538	-122.799	26	6	2014	36.1	12	Lab-02544	2014-06-26	177	juvenile
josh_029	48.538	-122.799	26	6	2014	28.2	12	Lab-02544	2014-06-26	177	juvenile
josh_030	48.538	-122.799	26	6	2014	NA	12	Lab-02544	2014-06-26	177	juvenile
josh_031	48.538	-122.799	26	6	2014	NA	12	Lab-02544	2014-06-26	177	juvenile
josh_032	48.538	-122.799	26	6	2014	34.6	11.5	Lab-02547	2014-06-26	177	juvenile
josh_033	48.655	-122.573	21	7	2014	NA	15.1	Lab-02926	2014-07-21	202	juvenile
josh_034	48.572	-122.838	21	7	2014	NA	15.5	Lab-02961	2014-07-21	202	juvenile
josh_035	48.415	-122.602	4	8	2014	42.8	13	Lab-03733	2014-08-04	216	juvenile
josh_036	48.538	-122.799	30	7	2014	40.7	15.5	Lab-04926	2014-07-30	211	juvenile
josh_037	48.538	-122.799	17	7	2014	NA	10.6	Lab-04957	2014-07-17	198	juvenile
josh_038	48.538	-122.799	10	6	2015	33.7	7.8	Lab-10924	2015-06-10	161	juvenile
josh_039	48.505	-122.763	22	6	2015	37.3	17.1	Lab-11176	2015-06-22	173	juvenile
josh_040	48.505	-122.763	22	6	2015	32.4	17.1	Lab-11176	2015-06-22	173	juvenile
josh_041	48.505	-122.763	22	6	2015	31.6	17.1	Lab-11176	2015-06-22	173	juvenile
josh_042	48.467	-122.724	6	7	2015	39.6	12	Lab-11589	2015-07-06	187	juvenile
josh_043	48.467	-122.724	6	7	2015	NA	12	Lab-11589	2015-07-06	187	juvenile
josh_044	48.467	-122.724	6	7	2015	37.5	15.5	Lab-11596	2015-07-06	187	juvenile
josh_045	48.543	-122.839	20	7	2015	39.3	16.4	Lab-11905	2015-07-20	201	juvenile
josh_046	48.543	-122.839	20	7	2015	37.4	16.4	Lab-11905	2015-07-20	201	juvenile
josh_047	48.543	-122.839	20	7	2015	37.5	16.4	Lab-11905	2015-07-20	201	juvenile
josh_048	48.543	-122.839	20	7	2015	NA	16.4	Lab-11905	2015-07-20	201	juvenile
josh_049	48.444	-122.808	9	7	2015	NA	10	Lab-12299	2015-07-09	190	juvenile
josh_050	48.482	-122.821	9	7	2015	NA	9.4	Lab-12313	2015-07-09	190	juvenile
josh_051	48.482	-122.821	9	7	2015	48.2	14.4	Lab-12315	2015-07-09	190	juvenile
josh_052	48.482	-122.821	9	7	2015	NA	14.4	Lab-12315	2015-07-09	190	juvenile
josh_053	48.482	-122.821	9	7	2015	30.8	14.7	Lab-12316	2015-07-09	190	juvenile
josh_054	48.447	-122.551	22	6	2015	NA	9.5	Lab-12363	2015-06-22	173	juvenile
josh_057	48.656	-122.573	3	8	2015	NA	15	Lab-12434	2015-08-03	215	juvenile
josh_058	48.656	-122.573	3	8	2015	NA	15	Lab-12434	2015-08-03	215	juvenile
josh_059	48.542	-122.837	3	8	2015	50	21.5	Lab-12487	2015-08-03	215	juvenile
josh_060	48.542	-122.837	3	8	2015	60.6	21.5	Lab-12487	2015-08-03	215	juvenile
josh_061	48.542	-122.837	3	8	2015	43.7	17.3	Lab-12490	2015-08-03	215	juvenile
josh_062	48.542	-122.837	3	8	2015	NA	17	Lab-12493	2015-08-03	215	juvenile
josh_063	48.542	-122.837	3	8	2015	NA	19	Lab-12494	2015-08-03	215	juvenile
josh_064	48.542	-122.837	3	8	2015	43.4	19	Lab-12494	2015-08-03	215	juvenile
josh_065	48.542	-122.837	3	8	2015	NA	18.1	Lab-12495	2015-08-03	215	juvenile
josh_066	48.542	-122.837	3	8	2015	47.6	18.1	Lab-12495	2015-08-03	215	juvenile
josh_067	48.542	-122.837	3	8	2015	38.4	18.5	Lab-12496	2015-08-03	215	juvenile
josh_068	48.474	-122.729	3	8	2015	43.7	16.6	Lab-12499	2015-08-03	215	juvenile
josh_069	48.408	-122.6	4	8	2015	NA	16.5	Lab-12531	2015-08-04	216	juvenile
josh_070	48.408	-122.6	4	8	2015	NA	16.5	Lab-12531	2015-08-04	216	juvenile
josh_071	48.409	-122.6	12	5	2015	21.78	NA	Lab-11040	2015-05-12	132	NA
josh_073	48.653	-122.571	6	7	2015	NA	13.4	Lab-11551	2015-07-06	187	juvenile
josh_074	48.653	-122.571	6	7	2015	NA	13.4	Lab-11551	2015-07-06	187	juvenile
josh_075	48.653	-122.571	6	7	2015	34.5	13.4	Lab-11551	2015-07-06	187	juvenile
josh_076	48.538	-122.799	22	7	2015	41.1	16.1	Lab-12915	2015-07-22	203	juvenile
josh_077	48.482	-122.821	23	7	2015	39.1	14	Lab-12922	2015-07-23	204	juvenile
josh_078	48.444	-122.808	6	8	2015	51.5	14	Lab-12933	2015-08-06	218	juvenile
josh_079	48.444	-122.808	6	8	2015	41.4	14	Lab-12933	2015-08-06	218	juvenile
josh_219	48.631788	-123.035647	17	3	2018	98	58.4	KW18_329	2018-03-17	76	adult
josh_220	48.631788	-123.035647	17	3	2018	109	58.4	KW18_329	2018-03-17	76	adult
josh_225	48.631788	-123.035647	11	3	2018	97	58.4	KW18_85	2018-03-11	70	adult
josh_226	48.631788	-123.035647	11	3	2018	101	58.4	KW18_85	2018-03-11	70	adult
josh_228	48.63101	-123.136988	27	1	2018	88	58.9	NOAA18_4	2018-01-27	27	adult
josh_230	48.63101	-123.136988	1	2	2018	118	63.5	NOAA18_19	2018-02-01	32	adult
josh_235	48.631788	-123.035647	17	3	2018	NA	74.9	KW18_336	2018-03-17	76	adult
josh_250	48.500334	-122.944121	8	1	2018	96	42	NOAA18_80	2018-01-08	8	adult
josh_251	48.71738	-122.87323	4	3	2018	NA	66	NOAA18_95	2018-03-04	63	adult
josh_252	48.570622	-122.742826	24	1	2018	NA	47	NOAA18_89	2018-01-24	24	adult
josh_253	48.563268	-122.861048	12	1	2018	94	37	NOAA18_92	2018-01-12	12	adult
josh_256	48.63101	-123.136988	14	2	2018	103	71.1	NOAA18_100	2018-02-14	45	adult
josh_257	48.63101	-123.136988	14	2	2018	96	71.1	NOAA18_100	2018-02-14	45	adult
josh_258	48.63101	-123.136988	14	2	2018	107	71.1	NOAA18_100	2018-02-14	45	adult
josh_259	48.63101	-123.136988	14	2	2018	108	71.1	NOAA18_100	2018-02-14	45	adult
josh_260	48.63101	-123.136988	14	2	2018	96	71.1	NOAA18_100	2018-02-14	45	adult
josh_261	48.63101	-123.136988	14	2	2018	126	71.1	NOAA18_100	2018-02-14	45	adult
josh_262	48.63101	-123.136988	14	2	2018	102	71.1	NOAA18_100	2018-02-14	45	adult
josh_263	48.63101	-123.136988	14	2	2018	NA	71.1	NOAA18_100	2018-02-14	45	adult
