sample_type repunit collection indiv L_24510 L_24510_1 L_30660 L_30660_1 L_6354 L_6354_1 L_8468 L_8468_1 L_519 L_519_1 L_725 L_725_1 L_31014 L_31014_1
mixture NA will will_007 001 001 001 001 001 001 002 002 001 001 001 002 001 001
mixture NA will will_008 001 001 001 001 001 001 001 002 001 001 001 001 001 001
mixture NA will will_009 001 001 001 001 001 002 002 002 001 001 001 001 001 001
mixture NA will will_010 001 001 001 001 001 002 001 002 001 002 001 001 001 001
mixture NA will will_011 001 001 001 001 001 002 002 002 001 001 001 001 001 001
mixture NA will will_012 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_013 001 001 001 001 001 002 002 002 001 002 001 001 001 001
mixture NA will will_014 001 001 001 001 001 002 002 002 001 001 002 002 001 001
mixture NA will will_015 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_016 001 001 001 002 001 001 001 002 001 001 001 001 001 001
mixture NA will will_018 001 001 001 002 001 002 NA NA 001 001 001 001 001 001
mixture NA will will_019 001 001 001 001 001 001 001 002 001 001 001 001 001 001
mixture NA will will_020 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_021 001 001 001 001 002 002 002 002 001 001 001 002 001 001
mixture NA will will_022 001 001 001 002 002 002 002 002 001 001 001 001 001 001
mixture NA will will_023 001 001 001 002 001 001 001 002 001 001 001 002 001 001
mixture NA will will_024 001 001 001 001 001 001 001 002 001 001 001 001 001 001
mixture NA will will_025 001 001 001 002 001 002 001 002 001 001 001 001 001 001
mixture NA will will_026 001 001 002 002 001 001 001 002 001 001 001 001 001 001
mixture NA will will_027 001 001 001 002 001 001 001 002 001 001 001 001 001 001
mixture NA will will_028 001 001 001 002 001 001 001 002 001 001 001 001 001 002
mixture NA will will_029 001 001 001 001 001 002 002 002 001 001 001 001 001 001
mixture NA will will_030 001 001 001 001 001 002 002 002 001 001 001 001 001 001
mixture NA will will_031 001 001 001 001 001 002 002 002 001 001 001 001 001 001
mixture NA will will_032 001 001 001 002 001 002 001 001 001 001 001 001 001 001
mixture NA will will_033 001 001 001 001 001 002 001 001 001 001 001 001 001 001
mixture NA will will_034 001 001 001 001 001 002 001 002 001 001 001 001 001 001
mixture NA will will_035 001 001 001 001 001 002 001 001 001 001 001 001 001 001
mixture NA will will_036 001 001 001 001 001 002 001 002 001 001 001 001 001 001
mixture NA will will_037 001 001 001 001 001 002 002 002 001 001 001 001 001 001
mixture NA will will_038 001 001 001 002 001 001 001 002 001 001 001 001 002 002
mixture NA will will_039 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_040 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_041 001 001 001 001 001 002 001 002 001 002 001 001 001 001
mixture NA will will_042 001 001 001 001 001 002 002 002 001 001 001 001 001 001
mixture NA will will_043 001 001 001 001 002 002 002 002 001 001 001 001 001 001
mixture NA will will_044 001 001 001 002 001 002 001 002 001 002 001 001 001 001
mixture NA will will_045 001 001 001 001 001 001 001 002 001 001 001 001 001 001
mixture NA will will_046 001 001 001 001 001 001 001 001 001 001 001 001 001 001
mixture NA will will_047 001 001 001 001 001 001 001 001 001 001 001 001 002 002
mixture NA will will_048 001 001 001 002 001 001 001 002 001 001 001 001 001 001
mixture NA will will_049 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_050 001 001 001 001 001 001 001 001 001 002 001 001 001 001
mixture NA will will_051 001 001 001 001 001 002 002 002 001 001 001 001 001 001
mixture NA will will_052 001 001 001 002 001 002 002 002 001 002 001 001 001 001
mixture NA will will_053 001 001 001 001 002 002 001 002 001 001 001 001 001 001
mixture NA will will_054 001 001 001 002 001 001 002 002 001 001 001 001 001 001
mixture NA will will_055 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_056 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_057 001 002 001 002 001 001 002 002 001 001 001 002 001 001
mixture NA will will_058 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_059 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_060 001 001 001 002 002 002 001 001 001 001 001 002 001 001
mixture NA will will_061 001 001 001 001 002 002 002 002 001 001 001 001 001 001
mixture NA will will_062 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_063 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_064 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_065 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_066 001 001 002 002 002 002 001 002 001 001 001 001 001 001
mixture NA will will_067 001 001 001 001 001 002 002 002 001 001 001 001 001 002
mixture NA will will_068 001 001 001 001 001 001 002 002 001 001 001 001 001 001
mixture NA will will_069 001 001 001 001 001 002 001 001 001 001 001 001 001 001
mixture NA will will_070 001 001 001 001 002 002 002 002 001 001 001 001 001 001
